Brand,Project,Brand Owner,Native Web 3,Twitter Followers,People,Utility,Description,Notes,Date Launched,Sector,Total NFTs,Initial Sale Revenue $,Royalty Revenue $,Blockchain,Onchain Ramp,Contract Address,Royalty,Marketplace,Marketplace URL,URLs,Twitter URL,,,,,,,,,,,,,,,,,,,,,
Hyundai,Metamobility - Shooting star,,,,,,"10,000 MobEDs compose the first Metamobility NFT collection of Hyundai Motor Company. Each MobED NFT has an unique design and rarity, unveiled as generative art.",,"May, 2022",Automative Manufacturer,,,,Ethereum,,0xe8Bfe9E1CA49E7DC0C6D01bCA8ae5EF5A30C8D3B,5%,Opensea,https://opensea.io/collection/hyundai-metamobility-official,https://www.hyundai.com/worldwide/en/company/newsroom/hyundai-motor-launches-first-exclusive-metamobility-nft-collection%2C-%E2%80%98shooting-star%E2%80%99-0000016827,,,,,,,,,,,,,,,,,,,,,,
Hyundai ,Metamobility - IONIQ 6,,,,,,"IONIQ 6 NFT is the 2nd official NFT collection of the Hyundai Metamobility universe. The collection is released to digitally redesign the electrified experiences of IONIQ 6, a new addition to Hyundai’s IONIQ line up. Welcoming all electric car enthusiasts to become a member of Hyundai Metamobility universe!",,"July, 2022",Automative Manufacturer,,,,Ethereum,,0x87660380eFC270677f62D8D1b45cC1D0b6C60F47,5%,Opensea,https://opensea.io/collection/hyundai-ioniq-6-official,https://www.hyundai-nft.com/2nd-collection,,,,,,,,,,,,,,,,,,,,,,
Audi,The Art of Progress,,,,,,"Audi is about to launch a non-fungible token (NFT) which is unusual in several ways. The NFTs are fractions of a single piece of art, The Art of Progress. Ouchhh Studio created the animated art using artificial intelligence (AI) based on the flow of people at the German internet marketing event OMR. ",,"May, 2022",Automative Manufacturer,,,,Ethereum,,0xfF1F1A1125184c5ad03a508Ee210DC5eF3741B09,10%,Opensea,https://opensea.io/collection/unseen-universe-official,https://www.ledgerinsights.com/audi-launches-novel-fractional-nft/,,,,,,,,,,,,,,,,,,,,,,
Chevrolet,Own the color,,,,XSULLO is a veteran digital artist with over 10 year of experience working with some of the biggest commercial brands and movie studios around.,,"Few drivers will own a Corvette Z06, but only one will have the opportunity to not only get one in Minted Green, but to ""Own the Color."" Chevrolet is offering drivers an opportunity to bid on a 1-of-1 piece of NFT artwork created by xsullo, along with a first—and only—of its kind 2023 Corvette Z06 in Minted Green.","The auction was held from June 20-24. SuperRare, the NFT marketplace that oversaw the auction,","June, 2022",Automative Manufacturer,,,,Ethereum,,0x362373ad01f3a0ef671f757bcb7276cc4a3fb9bf,,SuperRare,https://www.superrare.com/0x362373ad01f3a0ef671f757bcb7276cc4a3fb9bf/own-the-color--1,https://www.chevrolet.com/upcoming-vehicles/2023-corvette-z06/nft-terms,,,,,,,,,,,,,,,,,,,,,,
University of Iowa basketball player Luka Garza,,,,,,,"Garza sold his first NFT shortly after playing his final game for the University of Iowa’s Hawkeyes. It sold at auction on the NFT marketplace OpenSea.io for $41,141.",,"April, 2021",Sports Athlete,,,,Ethereum,,0x495f947276749Ce646f68AC8c248420045cb7b5e,0%,Opensea,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/17926201474292735514708432151270353285852694365171529238292388180991856869377,,,,,,,,,,,,,,,,,,,,,,,
Lotawana,,Trevor Hawkins,YES,,,"The set of 1,000 NFTs is the ONLY and EXCLUSIVE WORLD PREMIERE of the film LOTAWANA In a separate NFT collection of 1,000 shares, we are also offering the Actual Copyright to own this film in its entirety.",LOTAWANA is making history by being the first movie ever to forgo established industry channels by selling its World Premiere and Film Rights exclusively as NFTs,Independent filmmaker Trevor Hawkins’ Lotawana made history on March 17 as the first feature film to be sold as an NFT. ,"March, 2021",Film,,,,Ethereum,NO,0x495f947276749Ce646f68AC8c248420045cb7b5e,10%,Opensea,https://opensea.io/collection/lotawanamovie,https://www.moviemaker.com/lotawana-indie-movie-first-film-ever-sold-nft/,,,,,,,,,,,,,,,,,,,,,,
Is ____ Dead?,,TIME ,NO,,,,"Is ____ Dead? is one of the most iconic cover designs in TIME's 98-year history. Originally published on April 8, 1966, ""Is God Dead?"" was the first cover in the brand's storied history to include only typography with no image. The three NFTs in the collection include IS God dead?, Is Truth dead? Is Fiat Dead? ","This is an exclusive series of three incredibly prescient TIME covers, including one of the most iconic covers in TIME’s 98-year history, and the first-ever cover designed exclusively as a NFT","March, 2021",Media,,,,Ethereum,NO,0xb1001a00e957d4dcffe9ad7ad778b7ab745f6047,,Superrare,https://superrare.com/artwork-v2/time-is-____-dead-collection-21668,https://time.com/5948741/time-nft-covers/,,,,,,,,,,,,,,,,,,,,,,
,Special TIME cover,TIME ,YES,,Mike Winkelmann,,"Beeple, the pseudonym used by digital artist Mike Winkelmann, created a special cover for TIME Magazine’s May 10th/17th 2021 issue that just sold for 126.5 ether, roughly equivalent to $320,000 USD",,May 2021,Media,,,,Ethereum,NO,,,Superrare,https://superrare.com/artwork-v2/time-the-future-of-business-%28beeple-edition%29-24644,https://hypebeast.com/2021/5/beeple-time-the-future-of-business-artwork-sold-300000,,,,,,,,,,,,,,,,,,,,,,
TIMEPieces ,Build a Better Future,TIME ,YES,,,"Owning a TIMEPiece will also unlock unlimited access to TIME.com through TIME’s 100th anniversary in 2023, exclusive invites to TIME’s in-person events, and access to special digital experiences. Owners of multiple pieces will also be extended additional opportunities.","TIMEPieces is a NFT community initiative inclusive of four collections to date: Genesis, Inspiration, Long Neckie Women of the Year, Slices of TIME, and the newly announced, Beatclub Collection. Since September, the media giant has created, or “dropped” as it’s known in the space, more than 20,000 TIMEPieces NFTs, generating a $10 million profit and $600,000 for charities.","The Genesis Collection launched in September, 2021, with Build a Better Future. It included works from over 40 incredible, global artists spanning multiple disciplines. TIMEPieces followed with a second collection called Long Neckie Women of the Year by Artist in Residence, Nyla Hayes.","September, 2021",Media,"20,000",$10M,,Ethereum,NO,0xDd69da9a83ceDc730bc4d3C56E96D29Acc05eCDE,10%,Opensea,https://opensea.io/collection/timepieces-build-a-better-future-genesis-drop,https://www.cnbc.com/2022/07/17/99-year-old-publisher-time-is-leading-legacy-media-into-the-nft-future.html,,,,,,,,,,,,,,,,,,,,,,
"Love, Death + Robots","Season 3 of Love, Death + Robots",Netflix,,,Feature,,"The scavenger hunt was created in partnership with Web3 studio Feature and includes nine pieces of QR-Coded digital artwork in various mediums, including billboards, videos, and episodes of the sci-fi series.",Users will simply have to use their phones to scan the QR code and redeem NFTs that will appear on their OpenSea accounts.,"May, 2022",Media,,,,Ethereum,NO,0xFD43D1dA000558473822302e1d44D81dA2e4cC0d,0%,Opensea,https://opensea.io/collection/love-death-robots-official,https://decrypt.co/101346/netflix-launches-third-volume-of-love-death-robots-with-nft-scavenger-hunt,,,,,,,,,,,,,,,,,,,,,,
Nickelodeon,Nickelodeon: Rugrats & Hey Arnold!,Paramount,NO,,Recur,,"Nickelodeon NFTs are officially licensed digital profile picture (PFP) collectibles based on retro Nick cartoons. The first Nickelodeon NFT collection to be sold on the Nickelodeon.xyz NFT marketplace debuted 10,000 unique portrayals of Rugrats and Hey Arnold! characters. The Nick NFT drop was powered by Recur",,"July, 2022",TV channel,"10,000",,,Ethereum,NO,0x223E16c52436CAb2cA9FE37087C79986a288FFFA,10%,Recur also on Opensea,https://nickelodeon.xyz/marketplace/,https://www.businesswire.com/news/home/20220711005310/en/RECUR-and-Paramount-Global-to-Debut-Mashup-NFTs-Based-on-Nickelodeon-Characters,https://opensea.io/collection/nickelodeon-rugrats-heyarnold-eth,,,,,,,,,,,,,,,,,,,,,
I Live Here Now,,Julie Pacino,YES,,,Self Fund the film by selling NFTs,"Julie Pacino (Al’s daughter) raised nearly $80,000 to self-fund her film I Live Here Now, currently in pre-production, by selling NFTs of her photography",,,Film,,,,Ethereum,NO,0x495f947276749Ce646f68AC8c248420045cb7b5e,10%,Opensea,https://opensea.io/collection/i-live-here-now,https://www.mic.com/culture/julie-pacinos-film-funding-nfts,,,,,,,,,,,,,,,,,,,,,,
Campbell's Soup,AmeriCANa — SOPHIA CHANG X CAMPBELL’S,,,,"Street-style artist and illustrator, Sophia Chang",,"The collection of 100 Campbell’s authenticated NFT art pieces titled ‘AmeriCANa — SOPHIA CHANG X CAMPBELL’S’  will be exclusively available for purchase via the leader in drop culture, NTWRK",,"July, 2021",Food & Beverage,100,,,Ethereum,NO,0x495f947276749Ce646f68AC8c248420045cb7b5e,,Opensea,https://opensea.io/collection/americana-campbells-x-sophiachang,https://www.campbellsoupcompany.com/newsroom/press-releases/campbells-commissions-first-official-nft-collection-by-artist-sophia-chang-to-celebrate-changes-to-its-iconic-soup-can-labels/,,,,,,,,,,,,,,,,,,,,,,
Hello Fam,,,YES,,,"Buy a Grape Fam NFT and you'll receive membership in the world's first NFT winery and wine club. You'll also receive tokenized ownership of one case (six 750ml bottles) of our upcoming Genesis Vintage 2021 wine release, which will be stored in an insured, temperature-controlled facility and never sold outside of the NFT.","Hello Fam beautifully describes itself as ‘The official winery of the NFT age’ – and for good reason.  collectors need to become members. In order to gain membership, each collector must purchase at least one Grape Fam NFT. ",,"August, 2021",Food & Beverage,,,,Ethereum,,0x8744C9F3C2DCA15b306fEFCB1175Ecb22Ecbe01F,,Secondary Market - Opensea,https://opensea.io/collection/hello-fam-wine,https://hellofam.wine/,https://wineindustryadvisor.com/2021/09/07/hello-fam-launches-as-worlds-first-all-nft-wine-brand,,,,,,,,,,,,,,,,,,,,,
Coco- cola,,,NO,,,"The winning bidder will also receive an in-real-life Coca-Cola refrigerator. The retro, made-in-Italy SMEG FAB28—which officially hits the market in November—will be fully stocked with ice-cold Coca-Cola to share with friends. Additional surprises will be unveiled to the auction’s highest bidder. ","On International Friendship Day, July 30, 2021 four unique Coca-Cola NFTs will be up for auction as a single “loot box” through the OpenSea online marketplace.","Coca-Cola proceeds from the auction, which is open for all to bid, will go to longtime Coca-Cola partner and friend, Special Olympics International.","July, 2021",Food & Beverage,4,,,Ethereum,NO,0x455f04c9C54fFfa699e9F6b1271E857A1f2bDdfa,,Opensea,https://opensea.io/assets/ethereum/0x455f04c9c54fffa699e9f6b1271e857a1f2bddfa/1,https://www.coca-colacompany.com/news/coca-cola-to-offer-first-ever-nft-collectibles,,,,,,,,,,,,,,,,,,,,,,
Chef Tom Colicchio and Spike Mendelsohn,CHFTY Pizzas,,YES,,,"It will also unlock future benefits, such as streaming classes from chefs and live events, such as one in Washington D.C. next month. The chefs also plan to launch pop-up pizza restaurants across the United States, as voted on by NFT holders.","CHFTY Pizzas is launched with a public mint today, the chefs’ Ethereum NFT collection spans 2,777 profile pictures, each with the image of a cartoonish, anthropomorphized pizza slice with randomized characteristics. Each sells for 0.07 ETH, or about $210.",,"Mar, 2022",Food & Beverage,,,,Ethereum,NO,0xA720E16603f81CD82FaAE15AE16F1aCfE88ddF0F,,Opensea,https://opensea.io/collection/chfty-chftypizzas,https://decrypt.co/95947/top-chef-stars-tom-colicchio-spike-mendelsohn-ethereum-nfts-web3,,,,,,,,,,,,,,,,,,,,,,
